"","face","suit","value","game","win","start"
"186","2","D",2,51,0,0
"187","7","D",7,52,0,1
"188","9","C",9,52,0,1
"189","10","S",10,52,0,0
"190","8","D",8,53,0,1
"191","K","C",10,53,0,1
"192","Q","D",10,53,0,0
"193","10","H",10,54,1,1
"194","4","H",4,54,1,1
"195","2","H",2,54,1,0
"196","5","S",5,54,1,0
"197","5","D",5,55,0,1
"198","4","C",4,55,0,1
"199","3","D",3,55,0,0
"200","2","H",2,55,0,0
"201","A","S",1,55,0,0
"202","3","H",3,55,0,0
"203","10","S",10,55,0,0
"204","7","S",7,56,0,1
"205","J","D",10,56,0,1
"206","10","H",10,56,0,0
"207","Q","S",10,57,0,1
"208","7","H",7,57,0,1
"209","8","H",8,57,0,0
"210","2","S",2,58,0,1
"211","4","D",4,58,0,1
"212","A","H",1,58,0,0
"213","7","H",7,58,0,0
"214","4","H",4,58,0,0
"215","8","H",8,58,0,0
"216","8","D",8,59,0,1
"217","5","C",5,59,0,1
"218","K","H",10,59,0,0
"219","A","D",1,60,0,1
"220","4","D",4,60,0,1
"221","4","C",4,60,0,0
"222","4","H",4,60,0,0
"223","K","H",10,60,0,0
"224","6","D",6,61,0,1
"225","4","D",4,61,0,1
"226","J","D",10,61,0,0
"227","10","D",10,61,0,0
"228","Q","S",10,62,0,1
"229","4","H",4,62,0,1
"230","3","D",3,62,0,0
"231","10","S",10,62,0,0
"232","K","C",10,63,0,1
"233","8","D",8,63,0,1
"234","7","D",7,63,0,0
"235","7","H",7,64,0,1
"236","6","C",6,64,0,1
"237","3","S",3,64,0,0
"238","4","D",4,64,0,0
"239","9","C",9,64,0,0
"240","10","D",10,65,1,1
"241","A","D",1,65,1,1
"242","4","H",4,66,0,1
"243","2","C",2,66,0,1
"244","A","H",1,66,0,0
"245","8","S",8,66,0,0
"246","9","H",9,66,0,0
"247","2","S",2,67,1,1
"248","2","H",2,67,1,1
"249","A","S",1,67,1,0
"250","5","C",5,67,1,0
"251","9","D",9,67,1,0
"252","2","C",2,67,1,0
"253","4","S",4,68,1,1
"254","7","H",7,68,1,1
"255","K","D",10,68,1,0
"256","4","H",4,69,0,1
"257","A","D",1,69,0,1
"258","7","C",7,69,0,0
"259","3","D",3,69,0,0
"260","7","D",7,69,0,0
"261","2","H",2,70,0,1
"262","Q","D",10,70,0,1
"263","7","H",7,70,0,0
"264","8","D",8,70,0,0
"265","9","S",9,71,0,1
"266","8","H",8,71,0,1
"267","6","S",6,71,0,0
"268","2","D",2,72,0,1
"269","K","C",10,72,0,1
"270","K","H",10,72,0,0
"271","4","D",4,73,0,1
"272","4","H",4,73,0,1
"273","10","C",10,73,0,0
"274","5","D",5,73,0,0
"275","8","H",8,74,0,1
"276","8","D",8,74,0,1
"277","J","H",10,74,0,0
"278","J","C",10,75,0,1
"279","9","H",9,75,0,1
"280","K","D",10,75,0,0
"281","J","D",10,76,1,1
"282","3","D",3,76,1,1
"283","7","D",7,76,1,0
"284","A","H",1,76,1,0
"285","A","H",1,77,0,1
"286","9","C",9,77,0,1
"287","Q","H",10,77,0,0
"288","5","C",5,77,0,0
"289","7","S",7,78,0,1
"290","8","H",8,78,0,1
"291","A","S",1,78,0,0
"292","K","H",10,78,0,0
"293","2","S",2,79,0,1
"294","6","D",6,79,0,1
"295","A","C",1,79,0,0
"296","K","D",10,79,0,0
"297","4","C",4,79,0,0
"298","Q","C",10,80,0,1
"299","5","H",5,80,0,1
"300","7","H",7,80,0,0
"301","J","H",10,81,1,1
"302","A","C",1,81,1,1
"303","8","C",8,82,0,1
"304","9","C",9,82,0,1
"305","2","D",2,82,0,0
"306","4","H",4,82,0,0
"307","10","C",10,83,0,1
"308","J","S",10,83,0,1
"309","9","S",9,83,0,0
"310","A","C",1,84,0,1
"311","5","S",5,84,0,1
"312","10","H",10,84,0,0
"313","4","C",4,84,0,0
"314","K","C",10,84,0,0
"315","K","S",10,85,0,1
"316","4","C",4,85,0,1
"317","J","S",10,85,0,0
"318","5","H",5,86,0,1
"319","A","C",1,86,0,1
"320","3","C",3,86,0,0
"321","10","S",10,86,0,0
"322","J","S",10,86,0,0
"323","J","D",10,87,0,1
"324","9","S",9,87,0,1
"325","4","S",4,87,0,0
"326","4","H",4,88,0,1
"327","4","S",4,88,0,1
"328","10","S",10,88,0,0
"329","J","C",10,88,0,0
"330","10","C",10,89,0,1
"331","7","H",7,89,0,1
"332","5","D",5,89,0,0
"333","5","C",5,90,0,1
"334","10","H",10,90,0,1
"335","3","D",3,90,0,0
"336","7","S",7,90,0,0
"337","5","H",5,91,0,1
"338","2","S",2,91,0,1
"339","7","S",7,91,0,0
"340","8","D",8,91,0,0
"341","K","S",10,92,0,1
"342","6","H",6,92,0,1
"343","J","C",10,92,0,0
"344","4","C",4,93,0,1
"345","A","D",1,93,0,1
"346","10","S",10,93,0,0
"347","5","H",5,93,0,0
"348","9","D",9,93,0,0
"349","7","D",7,94,0,1
"350","2","D",2,94,0,1
"351","4","D",4,94,0,0
"352","Q","C",10,94,0,0
"353","10","H",10,95,0,1
"354","3","D",3,95,0,1
"355","4","H",4,95,0,0
"356","10","C",10,95,0,0
"357","Q","C",10,96,0,1
"358","K","C",10,96,0,1
"359","6","C",6,96,0,0
"360","K","D",10,97,0,1
"361","3","C",3,97,0,1
"362","4","C",4,97,0,0
"363","9","S",9,97,0,0
"364","A","D",1,98,0,1
"365","6","D",6,98,0,1
"366","10","H",10,98,0,0
"367","K","C",10,98,0,0
"368","3","H",3,99,0,1
"369","2","S",2,99,0,1
"370","K","S",10,99,0,0
"371","7","S",7,99,0,0
"372","K","C",10,100,0,1
"373","8","C",8,100,0,1
"374","6","D",6,100,0,0
"375","9","S",9,101,0,1
"376","A","C",1,101,0,1
"377","10","D",10,101,0,0
"378","7","H",7,101,0,0
"379","10","C",10,102,0,1
"380","8","C",8,102,0,1
"381","9","H",9,102,0,0
"382","10","C",10,103,0,1
"383","2","S",2,103,0,1
"384","7","D",7,103,0,0
"385","5","D",5,103,0,0
"386","A","S",1,104,1,1
"387","Q","C",10,104,1,1
"388","4","S",4,105,1,1
"389","8","S",8,105,1,1
"390","9","C",9,105,1,0
"391","4","S",4,106,1,1
"392","K","H",10,106,1,1
"393","7","H",7,106,1,0
"394","8","S",8,107,1,1
"395","3","S",3,107,1,1
"396","K","C",10,107,1,0
"397","2","D",2,108,0,1
"398","3","D",3,108,0,1
"399","3","S",3,108,0,0
"400","A","D",1,108,0,0
"401","7","C",7,108,0,0
"402","8","H",8,108,0,0
"403","K","C",10,109,0,1
"404","Q","D",10,109,0,1
"405","5","C",5,109,0,0
"406","3","S",3,110,0,1
"407","9","C",9,110,0,1
"408","5","H",5,110,0,0
"409","5","C",5,110,0,0
"410","3","S",3,111,0,1
"411","5","S",5,111,0,1
"412","K","D",10,111,0,0
"413","8","D",8,111,0,0
"414","7","S",7,112,0,1
"415","10","C",10,112,0,1
"416","9","S",9,112,0,0
"417","5","D",5,113,0,1
"418","J","S",10,113,0,1
"419","8","C",8,113,0,0
"420","9","S",9,114,0,1
"421","9","D",9,114,0,1
"422","A","S",1,114,0,0
"423","4","S",4,114,0,0
"424","A","H",1,115,1,1
"425","Q","H",10,115,1,1
"426","10","S",10,116,0,1
"427","9","H",9,116,0,1
"428","5","D",5,116,0,0
"429","8","H",8,117,0,1
"430","3","C",3,117,0,1
"431","8","S",8,117,0,0
"432","A","D",1,117,0,0
"433","10","C",10,117,0,0
"434","4","S",4,118,0,1
"435","7","C",7,118,0,1
"436","A","S",1,118,0,0
"437","7","D",7,118,0,0
"438","J","D",10,118,0,0
"439","K","D",10,119,0,1
"440","8","D",8,119,0,1
"441","A","D",1,119,0,0
"442","4","H",4,119,0,0
"443","6","H",6,120,0,1
"444","3","S",3,120,0,1
"445","3","C",3,120,0,0
"446","8","C",8,120,0,0
"447","6","S",6,120,0,0
"448","10","S",10,121,0,1
"449","Q","H",10,121,0,1
"450","J","C",10,121,0,0
"451","10","C",10,122,0,1
"452","K","D",10,122,0,1
"453","8","H",8,122,0,0
"454","7","H",7,123,0,1
"455","A","H",1,123,0,1
"456","Q","D",10,123,0,0
"457","2","S",2,123,0,0
"458","K","C",10,123,0,0
"459","6","C",6,124,0,1
"460","5","D",5,124,0,1
"461","3","C",3,124,0,0
"462","9","H",9,124,0,0
"463","A","H",1,125,0,1
"464","7","H",7,125,0,1
"465","10","C",10,125,0,0
"466","K","H",10,125,0,0
"467","4","H",4,126,0,1
"468","5","H",5,126,0,1
"469","10","C",10,126,0,0
"470","3","H",3,126,0,0
"471","6","C",6,127,0,1
"472","2","D",2,127,0,1
"473","3","S",3,127,0,0
"474","4","S",4,127,0,0
"475","7","C",7,127,0,0
"476","J","S",10,128,0,1
"477","10","S",10,128,0,1
"478","7","S",7,128,0,0
"479","2","C",2,129,1,1
"480","J","H",10,129,1,1
"481","3","S",3,129,1,0
"482","6","H",6,129,1,0
"483","A","C",1,130,1,1
"484","10","H",10,130,1,1
"485","10","D",10,131,0,1
"486","8","H",8,131,0,1
"487","2","C",2,131,0,0
"488","6","D",6,131,0,0
"489","3","S",3,132,0,1
"490","J","H",10,132,0,1
"491","10","H",10,132,0,0
"492","J","H",10,133,0,1
"493","5","D",5,133,0,1
"494","2","S",2,133,0,0
"495","J","D",10,133,0,0
"496","10","S",10,134,0,1
"497","3","C",3,134,0,1
"498","J","D",10,134,0,0
"499","Q","C",10,135,0,1
"500","4","S",4,135,0,1
"501","8","C",8,135,0,0
"502","3","C",3,136,0,1
"503","Q","S",10,136,0,1
"504","A","C",1,136,0,0
"505","3","D",3,136,0,0
"506","A","H",1,136,0,0
"507","K","C",10,136,0,0
"508","9","D",9,137,0,1
"509","10","S",10,137,0,1
"510","8","H",8,137,0,0
"511","9","D",9,138,0,1
"512","9","S",9,138,0,1
"513","8","C",8,138,0,0
"514","6","D",6,139,1,1
"515","8","C",8,139,1,1
"516","7","S",7,139,1,0
"517","J","D",10,140,0,1
"518","4","S",4,140,0,1
"519","9","C",9,140,0,0
"520","3","H",3,141,0,1
"521","J","S",10,141,0,1
"522","10","C",10,141,0,0
"523","9","H",9,142,0,1
"524","K","D",10,142,0,1
"525","5","S",5,142,0,0
"526","3","D",3,143,0,1
"527","4","S",4,143,0,1
"528","7","D",7,143,0,0
"529","A","C",1,143,0,0
"530","J","C",10,143,0,0
"531","8","C",8,144,0,1
"532","7","C",7,144,0,1
"533","9","H",9,144,0,0
"534","4","D",4,145,0,1
"535","4","S",4,145,0,1
"536","5","H",5,145,0,0
"537","Q","S",10,145,0,0
"538","9","H",9,146,0,1
"539","Q","C",10,146,0,1
"540","5","S",5,146,0,0
"541","8","S",8,147,0,1
"542","10","H",10,147,0,1
"543","2","H",2,147,0,0
"544","2","D",2,147,0,0
"545","5","C",5,148,0,1
"546","3","S",3,148,0,1
"547","5","D",5,148,0,0
"548","K","D",10,148,0,0
"549","Q","H",10,149,1,1
"550","A","D",1,149,1,1
"551","4","H",4,150,0,1
"552","8","C",8,150,0,1
"553","6","H",6,150,0,0
"554","4","C",4,150,0,0
"555","3","H",3,151,0,1
"556","7","D",7,151,0,1
"557","J","S",10,151,0,0
"558","10","D",10,151,0,0
"559","Q","C",10,152,0,1
"560","6","H",6,152,0,1
"561","J","S",10,152,0,0
"562","7","S",7,153,1,1
"563","Q","S",10,153,1,1
"564","2","S",2,153,1,0
"565","2","H",2,153,1,0
"566","6","D",6,154,0,1
"567","9","C",9,154,0,1
"568","10","H",10,154,0,0
"569","Q","C",10,155,1,1
"570","A","C",1,155,1,1
"571","9","C",9,156,0,1
"572","8","S",8,156,0,1
"573","2","D",2,156,0,0
"574","7","D",7,156,0,0
"575","Q","D",10,157,0,1
"576","8","S",8,157,0,1
"577","6","S",6,157,0,0
"578","9","D",9,158,0,1
"579","J","D",10,158,0,1
"580","5","S",5,158,0,0
"581","4","D",4,159,0,1
"582","J","H",10,159,0,1
"583","K","S",10,159,0,0
"584","6","H",6,160,0,1
"585","6","C",6,160,0,1
"586","J","C",10,160,0,0
"587","3","S",3,161,1,1
"588","J","D",10,161,1,1
"589","4","D",4,161,1,0
"590","4","S",4,161,1,0
"591","10","C",10,162,0,1
"592","7","H",7,162,0,1
"593","6","H",6,162,0,0
"594","Q","D",10,163,0,1
"595","Q","C",10,163,0,1
"596","10","D",10,163,0,0
"597","4","S",4,164,0,1
"598","Q","H",10,164,0,1
"599","J","S",10,164,0,0
"600","10","D",10,165,0,1
"601","6","H",6,165,0,1
"602","8","S",8,165,0,0
"603","K","H",10,166,0,1
"604","K","S",10,166,0,1
"605","8","D",8,166,0,0
"606","K","D",10,167,0,1
"607","3","C",3,167,0,1
"608","6","S",6,167,0,0
"609","4","C",4,167,0,0
"610","2","H",2,168,1,1
"611","9","C",9,168,1,1
"612","K","H",10,168,1,0
"613","A","S",1,169,0,1
"614","3","D",3,169,0,1
"615","10","C",10,169,0,0
"616","4","S",4,169,0,0
"617","9","H",9,169,0,0
"618","K","C",10,170,0,1
"619","K","S",10,170,0,1
"620","5","D",5,170,0,0
"621","Q","C",10,171,0,1
"622","3","H",3,171,0,1
"623","K","D",10,171,0,0
"624","4","S",4,172,0,1
"625","A","H",1,172,0,1
"626","J","D",10,172,0,0
"627","A","C",1,172,0,0
"628","Q","S",10,172,0,0
"629","7","H",7,173,0,1
"630","K","D",10,173,0,1
"631","10","S",10,173,0,0
"632","5","D",5,174,0,1
"633","10","H",10,174,0,1
"634","10","D",10,174,0,0
"635","3","S",3,175,0,1
"636","3","D",3,175,0,1
"637","4","C",4,175,0,0
"638","J","H",10,175,0,0
"639","9","D",9,175,0,0
"640","Q","D",10,176,0,1
"641","Q","H",10,176,0,1
"642","10","S",10,176,0,0
"643","7","D",7,177,0,1
"644","3","H",3,177,0,1
"645","3","C",3,177,0,0
"646","10","C",10,177,0,0
"647","9","C",9,178,0,1
"648","Q","H",10,178,0,1
"649","7","D",7,178,0,0
"650","4","S",4,179,0,1
"651","5","H",5,179,0,1
"652","5","S",5,179,0,0
"653","9","D",9,179,0,0
"654","10","S",10,180,0,1
"655","6","D",6,180,0,1
"656","6","C",6,180,0,0
"657","9","C",9,181,0,1
"658","4","H",4,181,0,1
"659","J","S",10,181,0,0
"660","8","H",8,182,0,1
"661","J","S",10,182,0,1
"662","10","D",10,182,0,0
"663","3","D",3,183,0,1
"664","4","H",4,183,0,1
"665","2","C",2,183,0,0
"666","5","H",5,183,0,0
"667","10","D",10,183,0,0
"668","4","S",4,184,0,1
"669","J","D",10,184,0,1
"670","A","C",1,184,0,0
"671","K","D",10,184,0,0
"672","4","C",4,185,1,1
"673","A","S",1,185,1,1
"674","3","H",3,185,1,0
"675","J","C",10,185,1,0
"676","2","H",2,185,1,0
"677","A","D",1,185,1,0
"678","8","S",8,186,0,1
"679","J","D",10,186,0,1
"680","K","H",10,186,0,0
"681","A","S",1,187,0,1
"682","6","H",6,187,0,1
"683","9","H",9,187,0,0
"684","J","H",10,187,0,0
"685","10","H",10,188,0,1
"686","Q","H",10,188,0,1
"687","K","D",10,188,0,0
"688","9","D",9,189,1,1
"689","6","D",6,189,1,1
"690","A","C",1,189,1,0
"691","5","C",5,189,1,0
"692","A","D",1,190,1,1
"693","J","C",10,190,1,1
"694","10","H",10,191,0,1
"695","3","D",3,191,0,1
"696","10","D",10,191,0,0
"697","3","C",3,192,0,1
"698","10","C",10,192,0,1
"699","9","C",9,192,0,0
"700","3","C",3,193,0,1
"701","6","H",6,193,0,1
"702","Q","C",10,193,0,0
"703","8","C",8,193,0,0
"704","10","H",10,194,0,1
"705","4","C",4,194,0,1
"706","9","D",9,194,0,0
"707","3","H",3,195,0,1
"708","2","H",2,195,0,1
"709","5","C",5,195,0,0
"710","Q","H",10,195,0,0
"711","3","S",3,195,0,0
"712","10","D",10,196,0,1
"713","Q","C",10,196,0,1
"714","9","D",9,196,0,0
"715","A","D",1,197,0,1
"716","5","S",5,197,0,1
"717","7","S",7,197,0,0
"718","6","H",6,197,0,0
"719","4","H",4,197,0,0
"720","10","C",10,198,0,1
"721","8","D",8,198,0,1
"722","9","S",9,198,0,0
"723","K","S",10,199,0,1
"724","8","C",8,199,0,1
"725","4","S",4,199,0,0
"726","10","D",10,200,0,1
"727","2","H",2,200,0,1
"728","5","S",5,200,0,0
"729","8","S",8,200,0,0
"730","J","D",10,201,0,1
"731","7","D",7,201,0,1
"732","3","C",3,201,0,0
"733","5","S",5,201,0,0
"734","3","D",3,202,0,1
"735","5","D",5,202,0,1
"736","9","S",9,202,0,0
"737","5","S",5,202,0,0
"738","7","S",7,203,0,1
"739","K","H",10,203,0,1
"740","Q","S",10,203,0,0
"741","Q","D",10,204,0,1
"742","2","S",2,204,0,1
"743","6","D",6,204,0,0
"744","2","H",2,204,0,0
"745","4","D",4,204,0,0
"746","9","S",9,205,0,1
"747","7","C",7,205,0,1
"748","8","D",8,205,0,0
"749","6","C",6,206,0,1
"750","6","S",6,206,0,1
"751","K","D",10,206,0,0
"752","9","D",9,207,0,1
"753","9","S",9,207,0,1
"754","8","C",8,207,0,0
"755","7","H",7,208,0,1
"756","J","C",10,208,0,1
"757","2","S",2,208,0,0
"758","5","S",5,208,0,0
"759","10","C",10,209,0,1
"760","J","S",10,209,0,1
"761","5","H",5,209,0,0
"762","4","S",4,210,0,1
"763","8","S",8,210,0,1
"764","J","C",10,210,0,0
"765","7","S",7,211,0,1
"766","10","S",10,211,0,1
"767","6","H",6,211,0,0
"768","2","H",2,212,0,1
"769","A","H",1,212,0,1
"770","7","S",7,212,0,0
"771","9","S",9,212,0,0
"772","J","D",10,212,0,0
"773","7","D",7,213,1,1
"774","6","D",6,213,1,1
"775","4","D",4,213,1,0
"776","4","H",4,213,1,0
"777","10","S",10,214,0,1
"778","7","S",7,214,0,1
"779","6","D",6,214,0,0
"780","2","C",2,215,0,1
"781","K","D",10,215,0,1
"782","6","D",6,215,0,0
"783","8","S",8,215,0,0
"784","K","H",10,216,0,1
"785","6","D",6,216,0,1
"786","4","D",4,216,0,0
"787","9","D",9,216,0,0
"788","10","S",10,217,0,1
"789","6","D",6,217,0,1
"790","K","H",10,217,0,0
"791","A","D",1,218,1,1
"792","10","D",10,218,1,1
"793","4","C",4,219,0,1
"794","9","H",9,219,0,1
"795","3","D",3,219,0,0
"796","Q","H",10,219,0,0
"797","10","S",10,220,0,1
"798","J","S",10,220,0,1
"799","6","S",6,220,0,0
"800","J","D",10,221,0,1
"801","5","D",5,221,0,1
"802","A","D",1,221,0,0
"803","6","D",6,221,0,0
"804","4","H",4,222,1,1
"805","7","D",7,222,1,1
"806","10","D",10,222,1,0
"807","5","H",5,223,0,1
"808","9","S",9,223,0,1
"809","K","S",10,223,0,0
"810","10","C",10,224,0,1
"811","K","C",10,224,0,1
"812","Q","C",10,224,0,0
"813","3","H",3,225,0,1
"814","7","C",7,225,0,1
"815","8","D",8,225,0,0
"816","8","S",8,225,0,0
"817","10","S",10,226,0,1
"818","Q","S",10,226,0,1
"819","7","H",7,226,0,0
"820","3","H",3,227,0,1
"821","K","D",10,227,0,1
"822","7","D",7,227,0,0
"823","Q","S",10,227,0,0
"824","J","D",10,228,0,1
"825","10","S",10,228,0,1
"826","10","C",10,228,0,0
"827","K","C",10,229,1,1
"828","4","D",4,229,1,1
"829","7","C",7,229,1,0
"830","9","S",9,230,0,1
"831","K","D",10,230,0,1
"832","7","S",7,230,0,0
"833","6","H",6,231,0,1
"834","3","C",3,231,0,1
"835","7","C",7,231,0,0
"836","10","S",10,231,0,0
"837","K","D",10,232,0,1
"838","4","H",4,232,0,1
"839","2","D",2,232,0,0
"840","K","H",10,232,0,0
"841","J","C",10,233,1,1
"842","10","S",10,233,1,1
"843","A","S",1,233,1,0
"844","2","H",2,234,0,1
"845","8","S",8,234,0,1
"846","10","H",10,234,0,0
"847","3","C",3,234,0,0
"848","2","S",2,235,0,1
"849","7","D",7,235,0,1
"850","J","S",10,235,0,0
"851","8","S",8,235,0,0
"852","A","H",1,236,0,1
"853","5","S",5,236,0,1
"854","6","C",6,236,0,0
"855","Q","H",10,236,0,0
"856","5","D",5,237,1,1
"857","2","D",2,237,1,1
"858","A","D",1,237,1,0
"859","4","C",4,237,1,0
"860","2","S",2,237,1,0
"861","4","D",4,237,1,0
"862","3","S",3,237,1,0
"863","J","S",10,238,0,1
"864","K","D",10,238,0,1
"865","Q","S",10,238,0,0
"866","9","S",9,239,0,1
"867","2","D",2,239,0,1
"868","9","C",9,239,0,0
"869","8","D",8,239,0,0
"870","6","S",6,240,0,1
"871","3","D",3,240,0,1
"872","5","C",5,240,0,0
"873","K","H",10,240,0,0
"874","Q","H",10,241,0,1
"875","6","S",6,241,0,1
"876","J","D",10,241,0,0
"877","2","S",2,242,1,1
"878","4","D",4,242,1,1
"879","A","C",1,242,1,0
"880","4","S",4,242,1,0
"881","5","D",5,243,0,1
"882","3","D",3,243,0,1
"883","9","S",9,243,0,0
"884","5","S",5,243,0,0
"885","Q","D",10,244,0,1
"886","5","D",5,244,0,1
"887","7","D",7,244,0,0
"888","Q","D",10,245,1,1
"889","A","D",1,245,1,1
"890","5","D",5,246,0,1
"891","2","S",2,246,0,1
"892","6","D",6,246,0,0
"893","9","D",9,246,0,0
"894","J","S",10,247,0,1
"895","Q","S",10,247,0,1
"896","6","C",6,247,0,0
"897","3","D",3,248,0,1
"898","9","C",9,248,0,1
"899","3","S",3,248,0,0
"900","7","D",7,248,0,0
"901","8","S",8,249,0,1
"902","2","D",2,249,0,1
"903","7","C",7,249,0,0
"904","7","H",7,249,0,0
"905","5","D",5,250,0,1
"906","J","D",10,250,0,1
"907","J","H",10,250,0,0
"908","9","D",9,251,0,1
"909","7","S",7,251,0,1
"910","2","S",2,251,0,0
"911","4","D",4,251,0,0
"912","2","H",2,252,1,1
"913","8","C",8,252,1,1
"914","7","C",7,252,1,0
"915","4","S",4,252,1,0
"916","2","S",2,253,1,1
"917","4","S",4,253,1,1
"918","5","C",5,253,1,0
"919","J","C",10,253,1,0
"920","Q","H",10,254,0,1
"921","4","S",4,254,0,1
"922","8","C",8,254,0,0
"923","4","D",4,255,0,1
"924","10","S",10,255,0,1
"925","4","H",4,255,0,0
"926","10","C",10,255,0,0
"927","10","H",10,256,0,1
